Unnamed: 0,TypeBuyIn,TournamentNumber,StartDateUtc,Hand,Level,Street_id,Pot,Card1,Card2,Card3,Card4,Card5,Dealer,Seat,Round,ActionOrder,PlayerId,PlayerName,Stack,SPR,Action,Bet,Allin,Showdown_1,Showdown_2,PlayerWins,WinAmount,Position,UniquePlayerId,ActionHistory,ActionCount,PositionNum,RaiserPosNum,RelativePosition,PotOdds,PreviousBetSize,StackCategory,BoardTexture,BoardDangerLevel,BetFrequency,RaiseFrequency,CallFrequency,FoldFrequency,VPIP,PFR,AggressionFactor_Street0,AggressionFactor_Street1,AggressionFactor_Street2,AggressionFactor_Street3,BetSize_mean,BetSize_std,BetSize_min,BetSize_max,ContinuationTendency,BetAdaptation,WinRate
25,MTT 2000,151933567,2024-02-05T20:09:41Z,1958954804,40000.0,3,880000.0,3h,8s,7h,8c,Jd,0,5,6,0,4,fedorav,1800278.0,2.0457704545454547,Bet,660000.0,0,,,,,MP3,5736,,11,4,4.0,Self,0.4285714285714285,0.0,Deep,Neutral,Medium,18.18,13.64,4.55,50.0,29.91,14.95,0.9412110523221634,0.2730577010449795,0.1440798858773181,1.0,351247.5,566086.58,10890.0,2318016.0,0.0333741239292468,1.1525208911370026,4.55
19,MTT 2000,151933567,2024-02-05T20:09:41Z,1958954804,40000.0,1,220000.0,3h,8s,7h,,,0,5,2,1,4,fedorav,2130278.0,9.68308181818182,Bet,110000.0,0,,,,,MP3,5736,Bet,11,4,4.0,Self,0.3333333333333333,660000.0,Deep,Neutral,Medium,18.18,13.64,4.55,50.0,29.91,14.95,0.9412110523221634,0.2730577010449795,0.1440798858773181,1.0,351247.5,566086.58,10890.0,2318016.0,0.0333741239292468,1.1525208911370026,4.55
15,MTT 2000,151933567,2024-02-05T20:09:41Z,1958954804,40000.0,0,180000.0,,,,,,1,7,1,2,6,adrenalin31,922500.0,5.125,Fold,0.0,0,,,,,BTN,5563,BetBet,11,6,4.0,After,0.0,110000.0,Deep,Neutral,Medium,5.51,15.75,9.84,51.57,20.51,15.16,2.1261972423955373,0.4898479746964595,0.7298027560118887,0.2177314211212516,918577.19,1799135.96,24000.0,11739935.0,0.0194753398615245,0.5119451035444043,11.42
13,MTT 2000,151933567,2024-02-05T20:09:41Z,1958954804,40000.0,0,100000.0,,,,,,0,5,1,3,4,fedorav,2210278.0,22.10278,Raise,80000.0,0,,,,,MP3,5736,BetBetFold,11,4,4.0,Self,0.4444444444444444,0.0,Deep,Neutral,Medium,18.18,13.64,4.55,50.0,29.91,14.95,0.9412110523221634,0.2730577010449795,0.1440798858773181,1.0,351247.5,566086.58,10890.0,2318016.0,0.0333741239292468,1.1525208911370026,4.55
26,MTT 2000,151933567,2024-02-05T20:09:41Z,1958954804,40000.0,3,1540000.0,3h,8s,7h,8c,Jd,0,1,7,4,0,freddy4444,1765146.0,1.1461987012987014,Call,660000.0,0,,,,,BB,4506,BetBetFoldRaise,11,8,4.0,After,0.3,80000.0,Deep,Neutral,Medium,2.82,3.29,19.76,36.94,27.47,17.04,1.3512023803716893,0.6036827022742516,0.2772992772992773,0.4364660970732594,325977.47,976314.36,4000.0,10625452.0,0.0277499436148455,0.5884460529290054,7.76
17,MTT 2000,151933567,2024-02-05T20:09:41Z,1958954804,40000.0,0,180000.0,,,,,,0,1,1,5,0,freddy4444,2135146.0,11.861922222222224,Call,40000.0,0,,,,,BB,4506,BetBetFoldRaiseCall,11,8,4.0,After,0.1818181818181818,660000.0,Deep,Neutral,Medium,2.82,3.29,19.76,36.94,27.47,17.04,1.3512023803716893,0.6036827022742516,0.2772992772992773,0.4364660970732594,325977.47,976314.36,4000.0,10625452.0,0.0277499436148455,0.5884460529290054,7.76
16,MTT 2000,151933567,2024-02-05T20:09:41Z,1958954804,40000.0,0,180000.0,,,,,,0,8,1,8,7,riverpomojet,3874952.0,21.52751111111111,Fold,0.0,0,,,,,SB,3126,BetBetFoldRaiseCallCallMucks CardsShows Cards,11,7,4.0,After,0.0,0.0,Deep,Neutral,Medium,6.21,8.84,12.04,48.64,22.73,14.4,1.509835670991882,0.5478942562526447,0.6595889536615464,0.4841092924017579,864277.54,1998880.63,4000.0,20346346.0,0.0392936031936087,0.6230370100116509,10.16
20,MTT 2000,151933567,2024-02-05T20:09:41Z,1958954804,40000.0,1,330000.0,3h,8s,7h,,,0,1,3,9,0,freddy4444,2095146.0,6.3489272727272725,Call,110000.0,0,,,,,BB,4506,BetBetFoldRaiseCallCallMucks CardsShows CardsFold,11,8,4.0,After,0.25,0.0,Deep,Neutral,Medium,2.82,3.29,19.76,36.94,27.47,17.04,1.3512023803716893,0.6036827022742516,0.2772992772992773,0.4364660970732594,325977.47,976314.36,4000.0,10625452.0,0.0277499436148455,0.5884460529290054,7.76
21,MTT 2000,151933567,2024-02-05T20:09:41Z,1958954804,40000.0,2,440000.0,3h,8s,7h,8c,,0,1,4,10,0,freddy4444,1985146.0,4.511695454545454,Check,0.0,0,,,,,BB,4506,BetBetFoldRaiseCallCallMucks CardsShows CardsFoldCall,11,8,4.0,After,0.0,110000.0,Deep,Neutral,Medium,2.82,3.29,19.76,36.94,27.47,17.04,1.3512023803716893,0.6036827022742516,0.2772992772992773,0.4364660970732594,325977.47,976314.36,4000.0,10625452.0,0.0277499436148455,0.5884460529290054,7.76
45,MTT 2000,151933567,2024-02-05T20:11:15Z,1958957637,40000.0,0,1017500.0,,,,,,0,1,1,0,0,freddy4444,1080146.0,1.0615685503685504,Fold,0.0,0,,,,,SB,4506,,5,7,-1.0,NoRaiser,0.0,0.0,Deep,Neutral,Medium,5.65,7.06,12.43,50.0,27.47,17.04,1.3512023803716893,0.6036827022742516,0.2772992772992773,0.4364660970732594,325977.47,976314.36,4000.0,10625452.0,0.0277499436148455,0.5884460529290054,8.76
42,MTT 2000,151933567,2024-02-05T20:11:15Z,1958957637,40000.0,0,100000.0,,,,,,0,6,1,1,5,imbonoob,4207658.0,42.07658,Fold,0.0,0,,,,,MP3,3362,Fold,5,4,-1.0,NoRaiser,0.0,0.0,Deep,Neutral,Medium,7.58,14.68,4.74,56.66,27.79,19.55,1.9733375047797823,0.7491883910055266,0.8734466089915147,0.6314003138571584,461207.19,1186057.48,2000.0,15396974.0,0.0475435400683257,0.5707906817561135,9.06
