,TypeBuyIn,TournamentNumber,StartDateUtc,Hand,Level,Street_id,Pot,Card1,Card2,Card3,Card4,Card5,Dealer,Seat,Round,ActionOrder,PlayerId,PlayerName,Stack,SPR,Action,Bet,Allin,Showdown_1,Showdown_2,PlayerWins,WinAmount,Position
0,MTT 1000,1789937523,2024-05-23T17:08:45Z,2088727061,5000.0,0,0.0,,,,,,0,1,0,1,0,aylo,775040.0,0.0,Post Ante,700.0,0,,,,,CO
1,MTT 1000,1789937523,2024-05-23T17:08:45Z,2088727061,5000.0,0,700.0,,,,,,1,2,0,2,1,turners7d,261000.0,372.86,Post Ante,700.0,0,,,,,BTN
2,MTT 1000,1789937523,2024-05-23T17:08:45Z,2088727061,5000.0,0,1400.0,,,,,,0,3,0,3,2,mr_freeze,291090.0,207.92,Post Ante,700.0,0,,,,,SB
3,MTT 1000,1789937523,2024-05-23T17:08:45Z,2088727061,5000.0,0,2100.0,,,,,,0,4,0,4,3,kimrasang,246600.0,117.43,Post Ante,700.0,0,,,,,BB
4,MTT 1000,1789937523,2024-05-23T17:08:45Z,2088727061,5000.0,0,2800.0,,,,,,0,5,0,5,4,saken1993,262500.0,93.75,Post Ante,700.0,0,,,,,EP3
5,MTT 1000,1789937523,2024-05-23T17:08:45Z,2088727061,5000.0,0,3500.0,,,,,,0,6,0,6,5,ajuwa,229400.0,65.54,Post Ante,700.0,0,,,,,MP1
6,MTT 1000,1789937523,2024-05-23T17:08:45Z,2088727061,5000.0,0,4200.0,,,,,,0,7,0,7,6,lokkoleo,207300.0,49.36,Post Ante,700.0,0,,,,,MP2
7,MTT 1000,1789937523,2024-05-23T17:08:45Z,2088727061,5000.0,0,4900.0,,,,,,0,8,0,8,7,z00mar,487500.0,99.49,Post Ante,700.0,0,,,,,MP3
8,MTT 1000,1789937523,2024-05-23T17:08:45Z,2088727061,5000.0,0,5600.0,,,,,,0,3,0,9,2,mr_freeze,290390.0,51.86,Post SB,2500.0,0,,,,,SB
9,MTT 1000,1789937523,2024-05-23T17:08:45Z,2088727061,5000.0,0,8100.0,,,,,,0,4,0,10,3,kimrasang,245900.0,30.36,Post BB,5000.0,0,,,,,BB
10,MTT 1000,1789937523,2024-05-23T17:08:45Z,2088727061,5000.0,0,13100.0,,,,,,0,5,1,1,4,saken1993,261800.0,19.98,Fold,0.0,0,,,,,EP3
11,MTT 1000,1789937523,2024-05-23T17:08:45Z,2088727061,5000.0,0,13100.0,,,,,,0,6,1,2,5,ajuwa,228700.0,17.46,Fold,0.0,0,,,,,MP1
12,MTT 1000,1789937523,2024-05-23T17:08:45Z,2088727061,5000.0,0,13100.0,,,,,,0,7,1,3,6,lokkoleo,206600.0,15.77,Raise,10000.0,0,,,,,MP2
13,MTT 1000,1789937523,2024-05-23T17:08:45Z,2088727061,5000.0,0,23100.0,,,,,,0,8,1,4,7,z00mar,486800.0,21.07,Fold,0.0,0,,,,,MP3
14,MTT 1000,1789937523,2024-05-23T17:08:45Z,2088727061,5000.0,0,23100.0,,,,,,0,1,1,5,0,aylo,774340.0,33.52,Call,10000.0,0,,,,,CO
15,MTT 1000,1789937523,2024-05-23T17:08:45Z,2088727061,5000.0,0,33100.0,,,,,,1,2,1,6,1,turners7d,260300.0,7.86,Fold,0.0,0,,,,,BTN
16,MTT 1000,1789937523,2024-05-23T17:08:45Z,2088727061,5000.0,0,33100.0,,,,,,0,3,1,7,2,mr_freeze,287890.0,8.7,Fold,0.0,0,,,,,SB
17,MTT 1000,1789937523,2024-05-23T17:08:45Z,2088727061,5000.0,0,33100.0,,,,,,0,4,1,8,3,kimrasang,240900.0,7.28,Fold,0.0,0,,,,,BB
18,MTT 1000,1789937523,2024-05-23T17:08:45Z,2088727061,5000.0,1,33100.0,3h,Jd,2h,,,0,7,2,1,6,lokkoleo,196600.0,5.94,Check,0.0,0,,,,,MP2
19,MTT 1000,1789937523,2024-05-23T17:08:45Z,2088727061,5000.0,1,33100.0,3h,Jd,2h,,,0,1,2,2,0,aylo,764340.0,23.09,Check,0.0,0,,,,,CO
20,MTT 1000,1789937523,2024-05-23T17:08:45Z,2088727061,5000.0,2,33100.0,3h,Jd,2h,3c,,0,7,3,1,6,lokkoleo,196600.0,5.94,Bet,13240.0,0,,,,,MP2
21,MTT 1000,1789937523,2024-05-23T17:08:45Z,2088727061,5000.0,2,46340.0,3h,Jd,2h,3c,,0,1,3,2,0,aylo,764340.0,16.49,Fold,0.0,0,,,,,CO
22,MTT 1000,1789937523,2024-05-23T17:08:45Z,2088727061,5000.0,3,46340.0,3h,Jd,2h,3c,,0,7,4,1,6,lokkoleo,183360.0,,Mucks Cards,0.0,0,,,1.0,33100.0,MP2
23,MTT 1000,1789937523,2024-05-23T17:09:50Z,2088728721,5000.0,0,0.0,,,,,,0,1,0,1,0,aylo,764340.0,0.0,Post Ante,700.0,0,,,,,MP3
24,MTT 1000,1789937523,2024-05-23T17:09:50Z,2088728721,5000.0,0,700.0,,,,,,0,2,0,2,1,turners7d,260300.0,371.86,Post Ante,700.0,0,,,,,CO
25,MTT 1000,1789937523,2024-05-23T17:09:50Z,2088728721,5000.0,0,1400.0,,,,,,1,3,0,3,2,mr_freeze,287890.0,205.64,Post Ante,700.0,0,,,,,BTN
26,MTT 1000,1789937523,2024-05-23T17:09:50Z,2088728721,5000.0,0,2100.0,,,,,,0,4,0,4,3,kimrasang,240900.0,114.71,Post Ante,700.0,0,,,,,SB
27,MTT 1000,1789937523,2024-05-23T17:09:50Z,2088728721,5000.0,0,2800.0,,,,,,0,5,0,5,4,saken1993,261800.0,93.5,Post Ante,700.0,0,,,,,BB
28,MTT 1000,1789937523,2024-05-23T17:09:50Z,2088728721,5000.0,0,3500.0,,,,,,0,6,0,6,5,ajuwa,228700.0,65.34,Post Ante,700.0,0,,,,,EP3
29,MTT 1000,1789937523,2024-05-23T17:09:50Z,2088728721,5000.0,0,4200.0,,,,,,0,7,0,7,6,lokkoleo,229700.0,54.69,Post Ante,700.0,0,,,,,MP1
30,MTT 1000,1789937523,2024-05-23T17:09:50Z,2088728721,5000.0,0,4900.0,,,,,,0,8,0,8,7,z00mar,486800.0,99.35,Post Ante,700.0,0,,,,,MP2
31,MTT 1000,1789937523,2024-05-23T17:09:50Z,2088728721,5000.0,0,5600.0,,,,,,0,4,0,9,3,kimrasang,240200.0,42.89,Post SB,2500.0,0,,,,,SB
32,MTT 1000,1789937523,2024-05-23T17:09:50Z,2088728721,5000.0,0,8100.0,,,,,,0,5,0,10,4,saken1993,261100.0,32.23,Post BB,5000.0,0,,,,,BB
33,MTT 1000,1789937523,2024-05-23T17:09:50Z,2088728721,5000.0,0,13100.0,,,,,,0,6,1,1,5,ajuwa,228000.0,17.4,Fold,0.0,0,,,,,EP3
34,MTT 1000,1789937523,2024-05-23T17:09:50Z,2088728721,5000.0,0,13100.0,,,,,,0,7,1,2,6,lokkoleo,229000.0,17.48,Raise,10000.0,0,,,,,MP1
35,MTT 1000,1789937523,2024-05-23T17:09:50Z,2088728721,5000.0,0,23100.0,,,,,,0,8,1,3,7,z00mar,486100.0,21.04,Fold,0.0,0,,,,,MP2
36,MTT 1000,1789937523,2024-05-23T17:09:50Z,2088728721,5000.0,0,23100.0,,,,,,0,1,1,4,0,aylo,763640.0,33.06,Fold,0.0,0,,,,,MP3
37,MTT 1000,1789937523,2024-05-23T17:09:50Z,2088728721,5000.0,0,23100.0,,,,,,0,2,1,5,1,turners7d,259600.0,11.24,Call,10000.0,0,,,,,CO
38,MTT 1000,1789937523,2024-05-23T17:09:50Z,2088728721,5000.0,0,33100.0,,,,,,1,3,1,6,2,mr_freeze,287190.0,8.68,Fold,0.0,0,,,,,BTN
39,MTT 1000,1789937523,2024-05-23T17:09:50Z,2088728721,5000.0,0,33100.0,,,,,,0,4,1,7,3,kimrasang,237700.0,7.18,Fold,0.0,0,,,,,SB
40,MTT 1000,1789937523,2024-05-23T17:09:50Z,2088728721,5000.0,0,33100.0,,,,,,0,5,1,8,4,saken1993,256100.0,7.74,Fold,0.0,0,,,,,BB
41,MTT 1000,1789937523,2024-05-23T17:09:50Z,2088728721,5000.0,1,33100.0,Qs,Kd,4h,,,0,7,2,1,6,lokkoleo,219000.0,6.62,Bet,9930.0,0,,,,,MP1
42,MTT 1000,1789937523,2024-05-23T17:09:50Z,2088728721,5000.0,1,43030.0,Qs,Kd,4h,,,0,2,2,2,1,turners7d,249600.0,5.8,Fold,0.0,0,,,,,CO
43,MTT 1000,1789937523,2024-05-23T17:09:50Z,2088728721,5000.0,2,43030.0,Qs,Kd,4h,,,0,7,3,1,6,lokkoleo,209070.0,,Mucks Cards,0.0,0,,,1.0,33100.0,MP1
44,MTT 1000,1789937523,2024-05-23T17:10:28Z,2088729737,5000.0,0,0.0,,,,,,0,1,0,1,0,aylo,763640.0,0.0,Post Ante,700.0,0,,,,,MP2
45,MTT 1000,1789937523,2024-05-23T17:10:28Z,2088729737,5000.0,0,700.0,,,,,,0,2,0,2,1,turners7d,249600.0,356.57,Post Ante,700.0,0,,,,,MP3
46,MTT 1000,1789937523,2024-05-23T17:10:28Z,2088729737,5000.0,0,1400.0,,,,,,0,3,0,3,2,mr_freeze,287190.0,205.14,Post Ante,700.0,0,,,,,CO
47,MTT 1000,1789937523,2024-05-23T17:10:28Z,2088729737,5000.0,0,2100.0,,,,,,1,4,0,4,3,kimrasang,237700.0,113.19,Post Ante,700.0,0,,,,,BTN
48,MTT 1000,1789937523,2024-05-23T17:10:28Z,2088729737,5000.0,0,2800.0,,,,,,0,5,0,5,4,saken1993,256100.0,91.46,Post Ante,700.0,0,,,,,SB
49,MTT 1000,1789937523,2024-05-23T17:10:28Z,2088729737,5000.0,0,3500.0,,,,,,0,6,0,6,5,ajuwa,228000.0,65.14,Post Ante,700.0,0,,,,,BB
50,MTT 1000,1789937523,2024-05-23T17:10:28Z,2088729737,5000.0,0,4200.0,,,,,,0,7,0,7,6,lokkoleo,252100.0,60.02,Post Ante,700.0,0,,,,,EP3
51,MTT 1000,1789937523,2024-05-23T17:10:28Z,2088729737,5000.0,0,4900.0,,,,,,0,8,0,8,7,z00mar,486100.0,99.2,Post Ante,700.0,0,,,,,MP1
52,MTT 1000,1789937523,2024-05-23T17:10:28Z,2088729737,5000.0,0,5600.0,,,,,,0,5,0,9,4,saken1993,255400.0,45.61,Post SB,2500.0,0,,,,,SB
53,MTT 1000,1789937523,2024-05-23T17:10:28Z,2088729737,5000.0,0,8100.0,,,,,,0,6,0,10,5,ajuwa,227300.0,28.06,Post BB,5000.0,0,,,,,BB
54,MTT 1000,1789937523,2024-05-23T17:10:28Z,2088729737,5000.0,0,13100.0,,,,,,0,7,1,1,6,lokkoleo,251400.0,19.19,Fold,0.0,0,,,,,EP3
55,MTT 1000,1789937523,2024-05-23T17:10:28Z,2088729737,5000.0,0,13100.0,,,,,,0,8,1,2,7,z00mar,485400.0,37.05,Fold,0.0,0,,,,,MP1
56,MTT 1000,1789937523,2024-05-23T17:10:28Z,2088729737,5000.0,0,13100.0,,,,,,0,1,1,3,0,aylo,762940.0,58.24,Fold,0.0,0,,,,,MP2
57,MTT 1000,1789937523,2024-05-23T17:10:28Z,2088729737,5000.0,0,13100.0,,,,,,0,2,1,4,1,turners7d,248900.0,19.0,Fold,0.0,0,,,,,MP3
58,MTT 1000,1789937523,2024-05-23T17:10:28Z,2088729737,5000.0,0,13100.0,,,,,,0,3,1,5,2,mr_freeze,286490.0,21.87,Fold,0.0,0,,,,,CO
59,MTT 1000,1789937523,2024-05-23T17:10:28Z,2088729737,5000.0,0,13100.0,,,,,,1,4,1,6,3,kimrasang,237000.0,18.09,Raise,10500.0,0,,,,,BTN
60,MTT 1000,1789937523,2024-05-23T17:10:28Z,2088729737,5000.0,0,23600.0,,,,,,0,5,1,7,4,saken1993,252900.0,10.72,Raise,34000.0,0,,,,,SB
61,MTT 1000,1789937523,2024-05-23T17:10:28Z,2088729737,5000.0,0,57600.0,,,,,,0,6,1,8,5,ajuwa,222300.0,3.86,Fold,0.0,0,,,,,BB
62,MTT 1000,1789937523,2024-05-23T17:10:28Z,2088729737,5000.0,0,57600.0,,,,,,1,4,2,1,3,kimrasang,226500.0,3.93,Fold,0.0,0,,,,,BTN
63,MTT 1000,1789937523,2024-05-23T17:10:28Z,2088729737,5000.0,1,57600.0,,,,,,0,5,3,1,4,saken1993,218900.0,,Mucks Cards,0.0,0,,,1.0,31600.0,SB
64,MTT 1000,1789937523,2024-05-23T17:10:56Z,2088730477,5000.0,0,0.0,,,,,,0,1,0,1,0,aylo,762940.0,0.0,Post Ante,700.0,0,,,,,MP1
65,MTT 1000,1789937523,2024-05-23T17:10:56Z,2088730477,5000.0,0,700.0,,,,,,0,2,0,2,1,turners7d,248900.0,355.57,Post Ante,700.0,0,,,,,MP2
66,MTT 1000,1789937523,2024-05-23T17:10:56Z,2088730477,5000.0,0,1400.0,,,,,,0,3,0,3,2,mr_freeze,286490.0,204.64,Post Ante,700.0,0,,,,,MP3
67,MTT 1000,1789937523,2024-05-23T17:10:56Z,2088730477,5000.0,0,2100.0,,,,,,0,4,0,4,3,kimrasang,226500.0,107.86,Post Ante,700.0,0,,,,,CO
68,MTT 1000,1789937523,2024-05-23T17:10:56Z,2088730477,5000.0,0,2800.0,,,,,,1,5,0,5,4,saken1993,276500.0,98.75,Post Ante,700.0,0,,,,,BTN
69,MTT 1000,1789937523,2024-05-23T17:10:56Z,2088730477,5000.0,0,3500.0,,,,,,0,6,0,6,5,ajuwa,222300.0,63.51,Post Ante,700.0,0,,,,,SB
70,MTT 1000,1789937523,2024-05-23T17:10:56Z,2088730477,5000.0,0,4200.0,,,,,,0,7,0,7,6,lokkoleo,251400.0,59.86,Post Ante,700.0,0,,,,,BB
71,MTT 1000,1789937523,2024-05-23T17:10:56Z,2088730477,5000.0,0,4900.0,,,,,,0,8,0,8,7,z00mar,485400.0,99.06,Post Ante,700.0,0,,,,,EP3
72,MTT 1000,1789937523,2024-05-23T17:10:56Z,2088730477,5000.0,0,5600.0,,,,,,0,6,0,9,5,ajuwa,221600.0,39.57,Post SB,2500.0,0,,,,,SB
73,MTT 1000,1789937523,2024-05-23T17:10:56Z,2088730477,5000.0,0,8100.0,,,,,,0,7,0,10,6,lokkoleo,250700.0,30.95,Post BB,5000.0,0,,,,,BB
74,MTT 1000,1789937523,2024-05-23T17:10:56Z,2088730477,5000.0,0,13100.0,,,,,,0,8,1,1,7,z00mar,484700.0,37.0,Raise,10000.0,0,,,,,EP3
75,MTT 1000,1789937523,2024-05-23T17:10:56Z,2088730477,5000.0,0,23100.0,,,,,,0,1,1,2,0,aylo,762240.0,33.0,Fold,0.0,0,,,,,MP1
76,MTT 1000,1789937523,2024-05-23T17:10:56Z,2088730477,5000.0,0,23100.0,,,,,,0,2,1,3,1,turners7d,248200.0,10.74,Fold,0.0,0,,,,,MP2
77,MTT 1000,1789937523,2024-05-23T17:10:56Z,2088730477,5000.0,0,23100.0,,,,,,0,3,1,4,2,mr_freeze,285790.0,12.37,Fold,0.0,0,,,,,MP3
78,MTT 1000,1789937523,2024-05-23T17:10:56Z,2088730477,5000.0,0,23100.0,,,,,,0,4,1,5,3,kimrasang,225800.0,9.77,Fold,0.0,0,,,,,CO
79,MTT 1000,1789937523,2024-05-23T17:10:56Z,2088730477,5000.0,0,23100.0,,,,,,1,5,1,6,4,saken1993,275800.0,11.94,Fold,0.0,0,,,,,BTN
80,MTT 1000,1789937523,2024-05-23T17:10:56Z,2088730477,5000.0,0,23100.0,,,,,,0,6,1,7,5,ajuwa,219100.0,9.48,Fold,0.0,0,,,,,SB
81,MTT 1000,1789937523,2024-05-23T17:10:56Z,2088730477,5000.0,0,23100.0,,,,,,0,7,1,8,6,lokkoleo,245700.0,10.64,Fold,0.0,0,,,,,BB
82,MTT 1000,1789937523,2024-05-23T17:10:56Z,2088730477,5000.0,1,23100.0,,,,,,0,8,2,1,7,z00mar,474700.0,,Mucks Cards,0.0,0,,,1.0,18100.0,EP3
83,MTT 1000,1789937523,2024-05-23T17:11:21Z,2088731119,5000.0,0,0.0,,,,,,0,1,0,1,0,aylo,762240.0,0.0,Post Ante,700.0,0,,,,,EP3
84,MTT 1000,1789937523,2024-05-23T17:11:21Z,2088731119,5000.0,0,700.0,,,,,,0,2,0,2,1,turners7d,248200.0,354.57,Post Ante,700.0,0,,,,,MP1
85,MTT 1000,1789937523,2024-05-23T17:11:21Z,2088731119,5000.0,0,1400.0,,,,,,0,3,0,3,2,mr_freeze,285790.0,204.14,Post Ante,700.0,0,,,,,MP2
86,MTT 1000,1789937523,2024-05-23T17:11:21Z,2088731119,5000.0,0,2100.0,,,,,,0,4,0,4,3,kimrasang,225800.0,107.52,Post Ante,700.0,0,,,,,MP3
87,MTT 1000,1789937523,2024-05-23T17:11:21Z,2088731119,5000.0,0,2800.0,,,,,,0,5,0,5,4,saken1993,275800.0,98.5,Post Ante,700.0,0,,,,,CO
88,MTT 1000,1789937523,2024-05-23T17:11:21Z,2088731119,5000.0,0,3500.0,,,,,,1,6,0,6,5,ajuwa,219100.0,62.6,Post Ante,700.0,0,,,,,BTN
89,MTT 1000,1789937523,2024-05-23T17:11:21Z,2088731119,5000.0,0,4200.0,,,,,,0,7,0,7,6,lokkoleo,245700.0,58.5,Post Ante,700.0,0,,,,,SB
90,MTT 1000,1789937523,2024-05-23T17:11:21Z,2088731119,5000.0,0,4900.0,,,,,,0,8,0,8,7,z00mar,497800.0,101.59,Post Ante,700.0,0,,,,,BB
91,MTT 1000,1789937523,2024-05-23T17:11:21Z,2088731119,5000.0,0,5600.0,,,,,,0,7,0,9,6,lokkoleo,245000.0,43.75,Post SB,2500.0,0,,,,,SB
92,MTT 1000,1789937523,2024-05-23T17:11:21Z,2088731119,5000.0,0,8100.0,,,,,,0,8,0,10,7,z00mar,497100.0,61.37,Post BB,5000.0,0,,,,,BB
93,MTT 1000,1789937523,2024-05-23T17:11:21Z,2088731119,5000.0,0,13100.0,,,,,,0,1,1,1,0,aylo,761540.0,58.13,Fold,0.0,0,,,,,EP3
94,MTT 1000,1789937523,2024-05-23T17:11:21Z,2088731119,5000.0,0,13100.0,,,,,,0,2,1,2,1,turners7d,247500.0,18.89,Raise,10000.0,0,,,,,MP1
95,MTT 1000,1789937523,2024-05-23T17:11:21Z,2088731119,5000.0,0,23100.0,,,,,,0,3,1,3,2,mr_freeze,285090.0,12.34,Fold,0.0,0,,,,,MP2
96,MTT 1000,1789937523,2024-05-23T17:11:21Z,2088731119,5000.0,0,23100.0,,,,,,0,4,1,4,3,kimrasang,225100.0,9.74,Fold,0.0,0,,,,,MP3
97,MTT 1000,1789937523,2024-05-23T17:11:21Z,2088731119,5000.0,0,23100.0,,,,,,0,5,1,5,4,saken1993,275100.0,11.91,Fold,0.0,0,,,,,CO
98,MTT 1000,1789937523,2024-05-23T17:11:21Z,2088731119,5000.0,0,23100.0,,,,,,1,6,1,6,5,ajuwa,218400.0,9.45,Call,10000.0,0,,,,,BTN
99,MTT 1000,1789937523,2024-05-23T17:11:21Z,2088731119,5000.0,0,33100.0,,,,,,0,7,1,7,6,lokkoleo,242500.0,7.33,Fold,0.0,0,,,,,SB
100,MTT 1000,1789937523,2024-05-23T17:11:21Z,2088731119,5000.0,0,33100.0,,,,,,0,8,1,8,7,z00mar,492100.0,14.87,Raise,45000.0,0,,,,,BB
101,MTT 1000,1789937523,2024-05-23T17:11:21Z,2088731119,5000.0,0,78100.0,,,,,,0,2,2,1,1,turners7d,237500.0,3.04,Fold,0.0,0,,,,,MP1
102,MTT 1000,1789937523,2024-05-23T17:11:21Z,2088731119,5000.0,0,78100.0,,,,,,1,6,2,2,5,ajuwa,208400.0,2.67,Call,40000.0,0,,,,,BTN
103,MTT 1000,1789937523,2024-05-23T17:11:21Z,2088731119,5000.0,1,118100.0,5h,6s,2h,,,0,8,3,1,7,z00mar,447100.0,3.79,Bet,36473.0,0,,,,,BB
104,MTT 1000,1789937523,2024-05-23T17:11:21Z,2088731119,5000.0,1,154573.0,5h,6s,2h,,,1,6,3,2,5,ajuwa,168400.0,1.09,Fold,0.0,0,,,,,BTN
105,MTT 1000,1789937523,2024-05-23T17:11:21Z,2088731119,5000.0,2,154573.0,5h,6s,2h,,,0,8,4,1,7,z00mar,410627.0,,Mucks Cards,0.0,0,,,1.0,118100.0,BB
106,MTT 1000,1789937523,2024-05-23T17:12:08Z,2088732312,5000.0,0,0.0,,,,,,0,1,0,1,0,aylo,761540.0,0.0,Post Ante,700.0,0,,,,,BB
107,MTT 1000,1789937523,2024-05-23T17:12:08Z,2088732312,5000.0,0,700.0,,,,,,0,2,0,2,1,turners7d,237500.0,339.29,Post Ante,700.0,0,,,,,EP3
108,MTT 1000,1789937523,2024-05-23T17:12:08Z,2088732312,5000.0,0,1400.0,,,,,,0,3,0,3,2,mr_freeze,285090.0,203.64,Post Ante,700.0,0,,,,,MP1
109,MTT 1000,1789937523,2024-05-23T17:12:08Z,2088732312,5000.0,0,2100.0,,,,,,0,4,0,4,3,kimrasang,225100.0,107.19,Post Ante,700.0,0,,,,,MP2
110,MTT 1000,1789937523,2024-05-23T17:12:08Z,2088732312,5000.0,0,2800.0,,,,,,0,5,0,5,4,saken1993,275100.0,98.25,Post Ante,700.0,0,,,,,MP3
111,MTT 1000,1789937523,2024-05-23T17:12:08Z,2088732312,5000.0,0,3500.0,,,,,,0,6,0,6,5,ajuwa,168400.0,48.11,Post Ante,700.0,0,,,,,CO
112,MTT 1000,1789937523,2024-05-23T17:12:08Z,2088732312,5000.0,0,4200.0,,,,,,1,7,0,7,6,lokkoleo,242500.0,57.74,Post Ante,700.0,0,,,,,BTN
113,MTT 1000,1789937523,2024-05-23T17:12:08Z,2088732312,5000.0,0,4900.0,,,,,,0,8,0,8,7,z00mar,565200.0,115.35,Post Ante,700.0,0,,,,,SB
114,MTT 1000,1789937523,2024-05-23T17:12:08Z,2088732312,5000.0,0,5600.0,,,,,,0,8,0,9,7,z00mar,564500.0,100.8,Post SB,2500.0,0,,,,,SB
115,MTT 1000,1789937523,2024-05-23T17:12:08Z,2088732312,5000.0,0,8100.0,,,,,,0,1,0,10,0,aylo,760840.0,93.93,Post BB,5000.0,0,,,,,BB
116,MTT 1000,1789937523,2024-05-23T17:12:08Z,2088732312,5000.0,0,13100.0,,,,,,0,2,1,1,1,turners7d,236800.0,18.08,Raise,10000.0,0,,,,,EP3
117,MTT 1000,1789937523,2024-05-23T17:12:08Z,2088732312,5000.0,0,23100.0,,,,,,0,3,1,2,2,mr_freeze,284390.0,12.31,Fold,0.0,0,,,,,MP1
118,MTT 1000,1789937523,2024-05-23T17:12:08Z,2088732312,5000.0,0,23100.0,,,,,,0,4,1,3,3,kimrasang,224400.0,9.71,Fold,0.0,0,,,,,MP2
119,MTT 1000,1789937523,2024-05-23T17:12:08Z,2088732312,5000.0,0,23100.0,,,,,,0,5,1,4,4,saken1993,274400.0,11.88,Fold,0.0,0,,,,,MP3
