,Tournament,Hand,Level,Street_id,Round,Pot,Card1,Card2,Card3,Card4,Card5,Seat_P0,Dealer_P0,Position_P0,Player_P0,PlayerName_P0,Stack_P0,SPR_P0,ActionOrder_P0,Action_P0,Bet_P0,Allin_P0,Showdown_1_P0,Showdown_2_P0,PlayerWins_P0,WinAmount_P0,Seat_P1,Dealer_P1,Position_P1,Player_P1,PlayerName_P1,Stack_P1,SPR_P1,ActionOrder_P1,Action_P1,Bet_P1,Allin_P1,Showdown_1_P1,Showdown_2_P1,PlayerWins_P1,WinAmount_P1,Seat_P2,Dealer_P2,Position_P2,Player_P2,PlayerName_P2,Stack_P2,SPR_P2,ActionOrder_P2,Action_P2,Bet_P2,Allin_P2,Showdown_1_P2,Showdown_2_P2,PlayerWins_P2,WinAmount_P2,Seat_P3,Dealer_P3,Position_P3,Player_P3,PlayerName_P3,Stack_P3,SPR_P3,ActionOrder_P3,Action_P3,Bet_P3,Allin_P3,Showdown_1_P3,Showdown_2_P3,PlayerWins_P3,WinAmount_P3,Seat_P4,Dealer_P4,Position_P4,Player_P4,PlayerName_P4,Stack_P4,SPR_P4,ActionOrder_P4,Action_P4,Bet_P4,Allin_P4,Showdown_1_P4,Showdown_2_P4,PlayerWins_P4,WinAmount_P4,Seat_P5,Dealer_P5,Position_P5,Player_P5,PlayerName_P5,Stack_P5,SPR_P5,ActionOrder_P5,Action_P5,Bet_P5,Allin_P5,Showdown_1_P5,Showdown_2_P5,PlayerWins_P5,WinAmount_P5,Seat_P6,Dealer_P6,Position_P6,Player_P6,PlayerName_P6,Stack_P6,SPR_P6,ActionOrder_P6,Action_P6,Bet_P6,Allin_P6,Showdown_1_P6,Showdown_2_P6,PlayerWins_P6,WinAmount_P6,Seat_P7,Dealer_P7,Position_P7,Player_P7,PlayerName_P7,Stack_P7,SPR_P7,ActionOrder_P7,Action_P7,Bet_P7,Allin_P7,Showdown_1_P7,Showdown_2_P7,PlayerWins_P7,WinAmount_P7
0,MTT 250,2018330204,700.0,0,0,0.0,,,,,,1.0,0.0,CO,0.0,djon01t,128594.0,0.0,1.0,Post Ante,85.0,0.0,,,,,2.0,1.0,BTN,1.0,evilkrol,106499.0,0.0,1.0,Post Ante,85.0,0.0,,,,,3.0,0.0,SB,2.0,cooper322,385369.0,0.0,1.0,Post SB,435.0,0.0,,,,,4.0,0.0,BB,3.0,catelit,112632.0,0.0,1.0,Post BB,785.0,0.0,,,,,5.0,0.0,EP3,4.0,maxelista,362827.0,0.0,1.0,Post Ante,85.0,0.0,,,,,6.0,0.0,MP1,5.0,antipirate,304164.0,0.0,1.0,Post Ante,85.0,0.0,,,,,7.0,0.0,MP2,6.0,tatartatar1,149915.0,0.0,1.0,Post Ante,85.0,0.0,,,,,8.0,0.0,MP3,7.0,staspro58,150000.0,0.0,1.0,Post Ante,85.0,0.0,,,,
1,MTT 250,2018330204,700.0,0,1,1730.0,,,,,,1.0,0.0,CO,0.0,djon01t,128509.0,74.28,5.0,Call,1400.0,0.0,,,,,2.0,1.0,BTN,1.0,evilkrol,106414.0,61.51,6.0,Raise,5848.0,0.0,,,,,3.0,0.0,SB,2.0,cooper322,384934.0,222.51,7.0,Fold,0.0,0.0,,,,,4.0,0.0,BB,3.0,catelit,111847.0,64.65,8.0,Call,5148.0,0.0,,,,,5.0,0.0,EP3,4.0,maxelista,362742.0,209.68,1.0,Fold,0.0,0.0,,,,,6.0,0.0,MP1,5.0,antipirate,304079.0,175.77,2.0,Fold,0.0,0.0,,,,,7.0,0.0,MP2,6.0,tatartatar1,149830.0,86.61,3.0,Fold,0.0,0.0,,,,,8.0,0.0,MP3,7.0,staspro58,149915.0,86.66,4.0,Raise,1400.0,0.0,,,,
2,MTT 250,2018330204,700.0,0,2,15526.0,,,,,,1.0,0.0,CO,0.0,djon01t,127109.0,8.19,2.0,Call,127109.0,1.0,,,,,2.0,1.0,BTN,1.0,evilkrol,100566.0,6.48,3.0,Call,100566.0,1.0,,,,,3.0,0.0,SB,2.0,cooper322,384934.0,,0.0,,,,,,,,4.0,0.0,BB,3.0,catelit,106699.0,6.87,4.0,Call,106699.0,1.0,,,,,5.0,0.0,EP3,4.0,maxelista,362742.0,,0.0,,,,,,,,6.0,0.0,MP1,5.0,antipirate,304079.0,,0.0,,,,,,,,7.0,0.0,MP2,6.0,tatartatar1,149830.0,,0.0,,,,,,,,8.0,0.0,MP3,7.0,staspro58,148515.0,9.57,1.0,Raise,148515.0,1.0,,,,
3,MTT 250,2018330204,700.0,1,3,498415.0,8h,Tc,2s,,,1.0,0.0,CO,0.0,djon01t,0.0,,0.0,,,,,,,,2.0,1.0,BTN,1.0,evilkrol,0.0,,0.0,,,,,,,,3.0,0.0,SB,2.0,cooper322,384934.0,,0.0,,,,,,,,4.0,0.0,BB,3.0,catelit,0.0,,0.0,,,,,,,,5.0,0.0,EP3,4.0,maxelista,362742.0,,0.0,,,,,,,,6.0,0.0,MP1,5.0,antipirate,304079.0,,0.0,,,,,,,,7.0,0.0,MP2,6.0,tatartatar1,149830.0,,0.0,,,,,,,,8.0,0.0,MP3,7.0,staspro58,0.0,,0.0,,,,,,,
4,MTT 250,2018330204,700.0,2,4,498415.0,8h,Tc,2s,4d,,1.0,0.0,CO,0.0,djon01t,0.0,,0.0,,,,,,,,2.0,1.0,BTN,1.0,evilkrol,0.0,,0.0,,,,,,,,3.0,0.0,SB,2.0,cooper322,384934.0,,0.0,,,,,,,,4.0,0.0,BB,3.0,catelit,0.0,,0.0,,,,,,,,5.0,0.0,EP3,4.0,maxelista,362742.0,,0.0,,,,,,,,6.0,0.0,MP1,5.0,antipirate,304079.0,,0.0,,,,,,,,7.0,0.0,MP2,6.0,tatartatar1,149830.0,,0.0,,,,,,,,8.0,0.0,MP3,7.0,staspro58,0.0,,0.0,,,,,,,
5,MTT 250,2018330204,700.0,3,5,498415.0,8h,Tc,2s,4d,7h,1.0,0.0,CO,0.0,djon01t,0.0,,0.0,,,,,,,,2.0,1.0,BTN,1.0,evilkrol,0.0,,0.0,,,,,,,,3.0,0.0,SB,2.0,cooper322,384934.0,,0.0,,,,,,,,4.0,0.0,BB,3.0,catelit,0.0,,0.0,,,,,,,,5.0,0.0,EP3,4.0,maxelista,362742.0,,0.0,,,,,,,,6.0,0.0,MP1,5.0,antipirate,304079.0,,0.0,,,,,,,,7.0,0.0,MP2,6.0,tatartatar1,149830.0,,0.0,,,,,,,,8.0,0.0,MP3,7.0,staspro58,0.0,,0.0,,,,,,,
6,MTT 250,2018330204,700.0,4,6,498415.0,8h,Tc,2s,4d,7h,1.0,0.0,CO,0.0,djon01t,0.0,,,Shows Cards,,,Qd,Ah,,,2.0,1.0,BTN,1.0,evilkrol,0.0,,,Shows Cards,,,Kd,Kc,,,3.0,0.0,SB,2.0,cooper322,384934.0,,0.0,,,,,,,,4.0,0.0,BB,3.0,catelit,0.0,,,Shows Cards,,,6c,6d,,,5.0,0.0,EP3,4.0,maxelista,362742.0,,0.0,,,,,,,,6.0,0.0,MP1,5.0,antipirate,304079.0,,0.0,,,,,,,,7.0,0.0,MP2,6.0,tatartatar1,149830.0,,0.0,,,,,,,,8.0,0.0,MP3,7.0,staspro58,0.0,,,Shows Cards,,,Ad,As,1.0,31924.0
7,MTT 250,2018335281,700.0,0,0,0.0,,,,,,1.0,0.0,MP3,0.0,djon01t,150000.0,0.0,1.0,Post Ante,85.0,0.0,,,,,2.0,0.0,CO,1.0,evilkrol,150000.0,0.0,1.0,Post Ante,85.0,0.0,,,,,3.0,1.0,BTN,2.0,cooper322,384934.0,0.0,1.0,Post Ante,85.0,0.0,,,,,4.0,0.0,SB,3.0,catelit,150000.0,0.0,1.0,Post SB,435.0,0.0,,,,,5.0,0.0,BB,4.0,maxelista,362742.0,0.0,1.0,Post BB,785.0,0.0,,,,,6.0,0.0,EP3,5.0,antipirate,304079.0,0.0,1.0,Post Ante,85.0,0.0,,,,,7.0,0.0,MP1,6.0,tatartatar1,149830.0,0.0,1.0,Post Ante,85.0,0.0,,,,,8.0,0.0,MP2,7.0,staspro58,498415.0,0.0,1.0,Post Ante,85.0,0.0,,,,
8,MTT 250,2018335281,700.0,0,1,1730.0,,,,,,1.0,0.0,MP3,0.0,djon01t,149915.0,86.66,4.0,Fold,0.0,0.0,,,,,2.0,0.0,CO,1.0,evilkrol,149915.0,86.66,5.0,Fold,0.0,0.0,,,,,3.0,1.0,BTN,2.0,cooper322,384849.0,222.46,6.0,Fold,0.0,0.0,,,,,4.0,0.0,SB,3.0,catelit,149565.0,86.45,7.0,Fold,0.0,0.0,,,,,5.0,0.0,BB,4.0,maxelista,361957.0,209.22,8.0,Raise,2800.0,0.0,,,,,6.0,0.0,EP3,5.0,antipirate,303994.0,175.72,1.0,Fold,0.0,0.0,,,,,7.0,0.0,MP1,6.0,tatartatar1,149745.0,86.56,2.0,Call,700.0,0.0,,,,,8.0,0.0,MP2,7.0,staspro58,498330.0,288.05,3.0,Call,700.0,0.0,,,,
9,MTT 250,2018335281,700.0,0,2,5930.0,,,,,,1.0,0.0,MP3,0.0,djon01t,149915.0,,0.0,,,,,,,,2.0,0.0,CO,1.0,evilkrol,149915.0,,0.0,,,,,,,,3.0,1.0,BTN,2.0,cooper322,384849.0,,0.0,,,,,,,,4.0,0.0,SB,3.0,catelit,149565.0,,0.0,,,,,,,,5.0,0.0,BB,4.0,maxelista,359157.0,,0.0,,,,,,,,6.0,0.0,EP3,5.0,antipirate,303994.0,,0.0,,,,,,,,7.0,0.0,MP1,6.0,tatartatar1,149045.0,25.13,1.0,Call,2800.0,0.0,,,,,8.0,0.0,MP2,7.0,staspro58,497630.0,83.92,2.0,Call,2800.0,0.0,,,,
