Unnamed: 0,TypeBuyIn,TournamentNumber,StartDateUtc,Hand,Level,Street_id,Pot,Card1,Card2,Card3,Card4,Card5,Dealer,Seat,Round,ActionOrder,PlayerId,PlayerName,Stack,SPR,Action,Bet,Allin,Showdown_1,Showdown_2,PlayerWins,WinAmount,Position,UniquePlayerId,ActionHistory,ActionCount,PositionNum,RaiserPosNum,RelativePosition,PotOdds,PreviousBetSize,StackCategory,BoardTexture,BoardDangerLevel,BetFrequency,RaiseFrequency,CallFrequency,FoldFrequency,VPIP,PFR,AggressionFactor_Street0,AggressionFactor_Street1,AggressionFactor_Street2,AggressionFactor_Street3,BetSize_mean,BetSize_std,BetSize_min,BetSize_max,ContinuationTendency,BetAdaptation,WinRate,Action_encoded
19,MTT 200,150694869,2024-02-01T20:46:09Z,1953595243,80000.0,1,520000.0,Ks,Qh,7s,Unknown,Unknown,0,4,2,0,3,mirkalovelylov,2988600.0,5.747307692307692,Bet,390000.0,0,,,,,CO,3757,Unknown,6,5,5.0,Self,0.4285714285714285,0.0,Deep,Neutral,Medium,8.54,4.52,26.13,44.22,30.93,7.99,0.3054529333530368,0.4108983799705449,0.2759452936444087,0.3722390141827482,180934.89,454169.8,460.0,3719452.25,0.0134548775340516,0.6060915178508646,10.55,3
20,MTT 200,150694869,2024-02-01T20:46:09Z,1953595243,80000.0,1,910000.0,Ks,Qh,7s,Unknown,Unknown,0,8,3,1,7,nogano777,4848540.0,5.328065934065934,Call,390000.0,0,,,,,EP3,1248,Bet,6,-1,5.0,Before,0.3,390000.0,Deep,Neutral,Medium,5.58,11.16,4.31,65.07,22.93,13.82,1.2509045290085634,0.5208798388414003,0.6436493218428421,0.5649633140705149,424583.64,1404242.6,1100.0,16514316.0,0.0319881468185251,0.5412861366312942,6.7,2
15,MTT 200,150694869,2024-02-01T20:46:09Z,1953595243,80000.0,0,520000.0,Unknown,Unknown,Unknown,Unknown,Unknown,1,5,1,2,4,bro_sa,3070195.0,5.904221153846154,Fold,0.0,0,,,,,BTN,1051,BetCall,6,6,5.0,After,0.0,390000.0,Deep,Neutral,Medium,4.41,9.86,15.43,54.35,27.14,13.73,0.8435079263235317,0.3129875879757561,0.348332911996854,0.5028529461612339,200164.78,816200.07,800.0,19396096.0,0.0342416996512184,0.6558450367526832,8.3,0
22,MTT 200,150694869,2024-02-01T20:46:09Z,1953595243,80000.0,2,1300000.0,Ks,Qh,7s,7d,Unknown,0,4,4,3,3,mirkalovelylov,2598600.0,1.998923076923077,Bet,975000.0,0,,,,,CO,3757,BetCallFold,6,5,5.0,Self,0.4285714285714285,0.0,Deep,Neutral,Medium,8.54,4.52,26.13,44.22,30.93,7.99,0.3054529333530368,0.4108983799705449,0.2759452936444087,0.3722390141827482,180934.89,454169.8,460.0,3719452.25,0.0134548775340516,0.6060915178508646,10.55,3
10,MTT 200,150694869,2024-02-01T20:46:09Z,1953595243,80000.0,0,200000.0,Unknown,Unknown,Unknown,Unknown,Unknown,0,8,1,4,7,nogano777,5008540.0,25.0427,Raise,160000.0,0,,,,,EP3,1248,BetCallFoldBet,6,-1,-1.0,NoRaiser,0.4444444444444444,975000.0,Deep,Neutral,Medium,5.58,11.16,4.31,65.07,22.93,13.82,1.2509045290085634,0.5208798388414003,0.6436493218428421,0.5649633140705149,424583.64,1404242.6,1100.0,16514316.0,0.0319881468185251,0.5412861366312942,6.7,4
12,MTT 200,150694869,2024-02-01T20:46:09Z,1953595243,80000.0,0,360000.0,Unknown,Unknown,Unknown,Unknown,Unknown,0,2,1,5,1,sds_den,2718296.0,7.550822222222222,Fold,0.0,0,,,,,MP2,15586,BetCallFoldBetRaise,6,3,-1.0,NoRaiser,0.0,160000.0,Deep,Neutral,Medium,5.69,4.0,20.0,52.0,35.85,5.66,0.1668980838655929,0.1603358656537384,0.2148465381870092,0.5006242197253433,67931.59,77032.37,1250.0,240000.0,0.0213532743690708,0.8971971080671161,4.0,0
13,MTT 200,150694869,2024-02-01T20:46:09Z,1953595253,80000.0,0,920000.0,Unknown,Unknown,Unknown,Unknown,Unknown,0,2,1,0,1,horun,8325603.0,9.04956847826087,Fold,0.0,0,,,,,MP3,13002,Unknown,2,4,-1.0,NoRaiser,0.0,0.0,Deep,Neutral,Medium,3.23,9.68,22.58,41.94,46.55,12.07,0.2980216975111678,0.2287917737789203,0.316149395055234,0.3642143505903724,458732.09,1059324.46,400.0,4656887.0,0.0115127791848952,1.0291643037030695,6.45,0
15,MTT 200,150694869,2024-02-01T20:46:09Z,1953595253,80000.0,0,920000.0,Unknown,Unknown,Unknown,Unknown,Unknown,1,4,1,1,3,artursitayoga,1886576.0,2.050626086956522,Fold,0.0,0,,,,,BTN,9154,Fold,2,6,-1.0,NoRaiser,0.0,0.0,Deep,Neutral,Medium,4.88,15.85,19.51,40.24,27.49,13.9,0.8070513944921943,0.3226898887276246,0.3612885309636212,0.750156152404747,270117.01,797528.22,3000.0,5194695.0,0.0492503645057706,0.5437216957691737,12.2,0
43,MTT 200,150694869,2024-02-01T20:46:39Z,1953595884,80000.0,3,280000.0,2h,Tc,3c,3s,5h,0,2,4,0,1,horun,8235603.0,29.412867857142857,Bet,280000.0,0,,,,,MP2,13002,Unknown,6,3,3.0,Self,0.5,0.0,Deep,Neutral,Medium,19.23,3.85,26.92,34.62,46.55,12.07,0.2980216975111678,0.2287917737789203,0.316149395055234,0.3642143505903724,458732.09,1059324.46,400.0,4656887.0,0.0115127791848952,1.0291643037030695,11.54,3
35,MTT 200,150694869,2024-02-01T20:46:39Z,1953595884,80000.0,0,280000.0,Unknown,Unknown,Unknown,Unknown,Unknown,1,5,1,1,4,alex_eldakoff,1834030.13,6.550107607142857,Fold,0.0,0,,,,,BTN,6723,Bet,6,6,3.0,After,0.0,280000.0,Deep,Neutral,Medium,2.44,5.69,2.44,84.55,13.73,6.15,0.5955510616784631,0.3501083152807865,0.5162850693324734,0.7146932952924394,101259.96,270070.48,800.0,2280060.0,0.019193125444049,0.4299962796153271,4.07,0
